Year,Mo,Dy,Latitude,Longitude,Max Water Height (m),Deaths,Houses Destroyed,Damage $Mil,Decade,Normalized Max Water Height
684,11.0,29.0,33.917,136.15,3.0,,,,680,0.03333333333333333
799,9.0,18.0,36.58,140.67,2.0,,,,790,0.022222222222222223
887,8.0,2.0,37.92,139.05,4.0,2000.0,,,880,0.044444444444444446
922,,,33.8,136.7,2.0,,,,920,0.022222222222222223
1026,6.0,16.0,34.88,132.43,10.0,1000.0,,,1020,0.1111111111111111
1026,6.0,16.0,34.6167,131.6,10.0,,,,1020,0.1111111111111111
1088,6.0,10.0,39.33,142.0,2.0,,,,1080,0.022222222222222223
1096,12.0,17.0,34.62,137.11,7.0,,,,1090,0.07777777777777778
1096,12.0,17.0,34.717,136.517,5.0,,,,1090,0.05555555555555555
1495,9.0,12.0,35.309,139.55,5.0,,,,1490,0.05555555555555555
1498,9.0,20.0,34.517,136.75,10.0,5000.0,1000.0,,1490,0.1111111111111111
1585,6.0,11.0,38.8,141.5,2.0,,,,1580,0.022222222222222223
1586,7.0,10.0,38.45,141.6,2.0,,,,1580,0.022222222222222223
1586,7.0,10.0,38.72,141.45,2.5,,,,1580,0.027777777777777776
1586,7.0,10.0,,,2.5,,,,1580,0.027777777777777776
1596,9.0,4.0,33.3,131.5,5.0,708.0,,,1590,0.05555555555555555
1596,9.0,4.0,33.2411,131.8722,8.0,,80.0,,1590,0.08888888888888889
1596,9.0,4.0,33.24,131.61,4.0,,,,1590,0.044444444444444446
1596,9.0,4.0,33.42,131.7,8.0,,,,1590,0.08888888888888889
1596,9.0,4.0,33.12,131.8,4.0,,,,1590,0.044444444444444446
1596,9.0,4.0,33.2,131.86,4.0,,,,1590,0.044444444444444446
1603,,,33.7,136.5,2.0,,,,1600,0.022222222222222223
1605,2.0,3.0,33.533,134.3,6.0,350.0,,,1600,0.06666666666666667
1605,2.0,3.0,34.06,134.6,7.0,,,,1600,0.07777777777777778
1605,2.0,3.0,33.3833,134.2167,10.0,50.0,,,1600,0.1111111111111111
1605,2.0,3.0,33.2833,134.15,10.0,400.0,,,1600,0.1111111111111111
1605,2.0,3.0,33.567,134.317,6.0,136.0,,,1600,0.06666666666666667
1605,2.0,3.0,33.5833,134.3667,5.0,100.0,,,1600,0.05555555555555555
1611,12.0,2.0,39.76,141.97,25.0,,,,1610,0.2777777777777778
1611,12.0,2.0,39.467,141.95,25.0,,,,1610,0.2777777777777778
1611,12.0,2.0,38.13,140.87,7.0,,,,1610,0.07777777777777778
1611,12.0,2.0,39.427,142.015,25.0,,,,1610,0.2777777777777778
1611,12.0,2.0,39.65,141.983,9.0,,,,1610,0.1
1611,12.0,2.0,39.117,141.817,9.0,,,,1610,0.1
1611,12.0,2.0,39.03,141.87,7.0,,,,1610,0.07777777777777778
1611,12.0,2.0,37.817,140.983,6.0,,,,1610,0.06666666666666667
1662,10.0,30.0,33.284,131.493,1.0,5.0,,,1660,0.011111111111111112
1662,10.0,30.0,31.88,131.45,5.0,,,,1660,0.05555555555555555
1662,10.0,30.0,32.6,131.67,4.0,,,,1660,0.044444444444444446
1662,10.0,30.0,31.517,131.383,3.0,,,,1660,0.03333333333333333
1670,12.0,17.0,,,2.0,,,,1670,0.022222222222222223
1677,4.0,13.0,39.65,141.983,6.0,,,,1670,0.06666666666666667
1677,11.0,4.0,35.75,140.867,5.0,,,,1670,0.05555555555555555
1677,11.0,4.0,33.1,139.77,4.0,,,,1670,0.044444444444444446
1677,11.0,4.0,35.21617,140.38776,7.0,,,,1670,0.07777777777777778
1677,11.0,4.0,35.133,140.25,8.0,,,,1670,0.08888888888888889
1677,11.0,4.0,36.933,140.9,3.0,80.0,,,1670,0.03333333333333333
1677,11.0,4.0,38.13,140.87,4.0,123.0,490.0,,1670,0.044444444444444446
1677,11.0,4.0,36.97,140.83,2.0,,,,1670,0.022222222222222223
1677,11.0,4.0,36.4833,140.6167,2.0,,,,1670,0.022222222222222223
1677,11.0,4.0,35.25,140.4,4.0,,,,1670,0.044444444444444446
1677,11.0,4.0,35.1833,140.3667,6.0,,,,1670,0.06666666666666667
1677,11.0,4.0,,,6.0,,,,1670,0.06666666666666667
1677,11.0,4.0,36.333,140.59,2.0,,,,1670,0.022222222222222223
1677,11.0,4.0,,,3.0,,,,1670,0.03333333333333333
1677,11.0,4.0,35.347,140.377,5.0,,,,1670,0.05555555555555555
1687,10.0,20.0,38.3,141.5,2.0,,,,1680,0.022222222222222223
1687,10.0,20.0,39.267,141.883,0.5,,,,1680,0.005555555555555556
1687,10.0,20.0,26.167,127.833,0.8,,,,1680,0.008888888888888889
1687,10.0,20.0,38.3,141.0,0.5,,,,1680,0.005555555555555556
1689,,,39.33,142.0,2.0,,,,1680,0.022222222222222223
1700,1.0,27.0,33.717,135.367,5.0,,,,1700,0.05555555555555555
1700,1.0,27.0,39.35,141.917,4.0,,2.0,,1700,0.044444444444444446
1700,1.0,27.0,39.65,141.9667,4.0,,13.0,,1700,0.044444444444444446
1700,1.0,27.0,39.583,141.98,5.0,,,,1700,0.05555555555555555
1700,1.0,27.0,35.0,138.2,5.4,,,,1700,0.060000000000000005
1700,4.0,16.0,34.3,129.3,6.0,1000.0,,,1700,0.06666666666666667
1703,12.0,30.0,34.917,139.817,10.0,,,,1700,0.1111111111111111
1703,12.0,30.0,35.089,139.069,5.0,,,,1700,0.05555555555555555
1703,12.0,30.0,35.1,138.9,8.8,,,,1700,0.09777777777777778
1703,12.0,30.0,34.95,139.95,5.0,28.0,,,1700,0.05555555555555555
1703,12.0,30.0,33.1,139.77,3.0,1.0,,,1700,0.03333333333333333
1703,12.0,30.0,35.6,140.1,5.0,,300.0,,1700,0.05555555555555555
1703,12.0,30.0,35.65,139.8,8.0,,,,1700,0.08888888888888889
1703,12.0,30.0,35.1,140.1,6.1,,,,1700,0.06777777777777777
1703,12.0,30.0,34.81,139.08,6.0,,,,1700,0.06666666666666667
1703,12.0,30.0,35.133,140.25,7.4,,,,1700,0.08222222222222222
1703,12.0,30.0,35.17,140.33,4.0,,,,1700,0.044444444444444446
1703,12.0,30.0,35.15,140.18,6.1,100.0,270.0,,1700,0.06777777777777777
1703,12.0,30.0,35.22,139.72,6.0,,,,1700,0.06666666666666667
1703,12.0,30.0,35.0775,140.10419,7.0,,,,1700,0.07777777777777778
1703,12.0,30.0,35.256,139.16,4.0,230.0,,,1700,0.044444444444444446
1703,12.0,30.0,35.5,139.6,4.0,,,,1700,0.044444444444444446
1703,12.0,30.0,34.783,139.383,10.0,56.0,58.0,,1700,0.1111111111111111
1703,12.0,30.0,34.667,138.95,3.0,37.0,58.0,,1700,0.03333333333333333
1703,12.0,30.0,35.046089,139.073589,5.0,,,,1700,0.05555555555555555
1703,12.0,30.0,35.62,139.73,2.0,,,,1700,0.022222222222222223
1703,12.0,30.0,34.983,139.85,5.6,,,,1700,0.06222222222222222
1703,12.0,30.0,35.7,140.85,4.0,,,,1700,0.044444444444444446
1703,12.0,30.0,35.347,140.377,6.0,,,,1700,0.06666666666666667
1703,12.0,30.0,35.02,139.05,5.0,300.0,,,1700,0.05555555555555555
1703,12.0,30.0,35.54,140.02,10.5,,,,1700,0.11666666666666667
1703,12.0,30.0,35.671,139.889,2.0,,,,1700,0.022222222222222223
1703,12.0,30.0,35.693,139.983,2.0,,,,1700,0.022222222222222223
1703,12.0,30.0,34.6333,138.8833,5.3,,,,1700,0.058888888888888886
1703,12.0,30.0,35.133,139.85,6.5,,,,1700,0.07222222222222222
1703,12.0,30.0,36.333,140.583,7.3,,,,1700,0.0811111111111111
1703,12.0,30.0,35.017,138.883,2.0,,,,1700,0.022222222222222223
1703,12.0,30.0,,,4.0,,,,1700,0.044444444444444446
1703,12.0,30.0,35.1833,140.3667,8.0,,,,1700,0.08888888888888889
1703,12.0,30.0,35.317,139.367,4.0,,,,1700,0.044444444444444446
1703,12.0,30.0,34.6833,139.4333,10.0,,,,1700,0.1111111111111111
1703,12.0,30.0,,,10.0,,,,1700,0.1111111111111111
1703,12.0,30.0,35.6833,139.7833,2.0,,,,1700,0.022222222222222223
1703,12.0,30.0,35.72062,140.86942,5.9,,5.0,,1700,0.06555555555555556
1703,12.0,30.0,35.71018,140.85988,11.7,,,,1700,0.13
1703,12.0,30.0,35.695,140.86236,7.7,,2.0,,1700,0.08555555555555555
1703,12.0,30.0,35.69893,140.85106,10.8,,,,1700,0.12000000000000001
1703,12.0,30.0,35.71167,140.83685,4.8,,1.0,,1700,0.05333333333333333
1707,10.0,28.0,34.3,136.7,11.0,,,,1700,0.12222222222222222
1707,10.0,28.0,33.267,134.167,6.5,,,,1700,0.07222222222222222
1707,10.0,28.0,33.333,133.25,25.7,200.0,,,1700,0.28555555555555556
1707,10.0,28.0,34.63,138.18,5.5,,,,1700,0.06111111111111111
1707,10.0,28.0,34.667,138.95,3.6,,,,1700,0.04
1707,10.0,28.0,33.5,133.567,24.0,704.0,,,1700,0.26666666666666666
1707,10.0,28.0,34.483,136.817,11.5,,,,1700,0.12777777777777777
1707,10.0,28.0,33.51,133.44,20.0,,18000.0,,1700,0.2222222222222222
1711,12.0,20.0,34.333,134.05,2.0,,,,1710,0.022222222222222223
1730,7.0,8.0,38.45,141.45,2.0,,,,1730,0.022222222222222223
1730,7.0,8.0,38.56,141.41,2.0,,,,1730,0.022222222222222223
1730,7.0,8.0,38.8,141.5,2.0,,,,1730,0.022222222222222223
1730,7.0,8.0,38.31,141.03,2.0,,,,1730,0.022222222222222223
1730,7.0,8.0,39.074,141.71,2.0,,,,1730,0.022222222222222223
1730,7.0,8.0,39.067,141.733,2.0,,,,1730,0.022222222222222223
1732,12.0,4.0,35.53,140.42,2.0,,,,1730,0.022222222222222223
1732,,,33.1,139.767,2.0,,,,1730,0.022222222222222223
1741,8.0,29.0,41.51,139.37,10.0,,,,1740,0.1111111111111111
1741,8.0,29.0,38.0,138.5,90.0,,,,1740,1.0
1741,8.0,29.0,42.125,139.987,11.0,,,,1740,0.12222222222222222
1741,8.0,29.0,41.425,140.112,7.0,,,,1740,0.07777777777777778
1741,8.0,29.0,42.127,139.967,11.0,,,,1740,0.12222222222222222
1741,8.0,29.0,42.068,140.065,11.0,,,,1740,0.12222222222222222
1741,8.0,29.0,42.042,140.083,10.0,,,,1740,0.1111111111111111
1741,8.0,29.0,42.0,140.118,4.0,,,,1740,0.044444444444444446
1741,8.0,29.0,41.993,140.122,6.0,,,,1740,0.06666666666666667
1741,8.0,29.0,41.972,140.133,9.0,,,,1740,0.1
1741,8.0,29.0,41.912,140.138,11.0,,,,1740,0.12222222222222222
1741,8.0,29.0,41.902,140.133,8.0,,,,1740,0.08888888888888889
1741,8.0,29.0,41.893,140.137,9.0,,,,1740,0.1
1741,8.0,29.0,41.872,140.125,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,41.848,140.123,6.0,,,,1740,0.06666666666666667
1741,8.0,29.0,41.807,140.105,3.0,,,,1740,0.03333333333333333
1741,8.0,29.0,41.81,140.088,9.0,,,,1740,0.1
1741,8.0,29.0,41.76,140.063,7.0,,,,1740,0.07777777777777778
1741,8.0,29.0,41.75,140.058,8.0,,,,1740,0.08888888888888889
1741,8.0,29.0,41.74,140.048,10.0,,,,1740,0.1111111111111111
1741,8.0,29.0,41.705,140.022,12.0,,,,1740,0.13333333333333333
1741,8.0,29.0,41.645,139.995,12.0,,,,1740,0.13333333333333333
1741,8.0,29.0,41.627,139.99,34.0,,,,1740,0.37777777777777777
1741,8.0,29.0,41.588,139.982,9.0,,,,1740,0.1
1741,8.0,29.0,41.54,139.993,13.0,,,,1740,0.14444444444444443
1741,8.0,29.0,41.522,140.003,11.0,,,,1740,0.12222222222222222
1741,8.0,29.0,41.492,140.013,8.0,,,,1740,0.08888888888888889
1741,8.0,29.0,41.483,140.02,7.0,,,,1740,0.07777777777777778
1741,8.0,29.0,41.478,140.023,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,41.46,140.027,16.0,,,,1740,0.17777777777777778
1741,8.0,29.0,41.443,140.043,6.0,,,,1740,0.06666666666666667
1741,8.0,29.0,41.423,140.103,11.0,,,,1740,0.12222222222222222
1741,8.0,29.0,41.427,140.12,14.0,,,,1740,0.15555555555555556
1741,8.0,29.0,41.427,140.127,20.0,,,,1740,0.2222222222222222
1741,8.0,29.0,41.403,140.177,23.0,,,,1740,0.25555555555555554
1741,8.0,29.0,41.443,140.24,3.0,,,,1740,0.03333333333333333
1741,8.0,29.0,41.48,140.26,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,41.202,140.433,4.0,,,,1740,0.044444444444444446
1741,8.0,29.0,41.133,140.305,6.0,,,,1740,0.06666666666666667
1741,8.0,29.0,41.043,140.322,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,40.782,140.213,4.0,,,,1740,0.044444444444444446
1741,8.0,29.0,40.743,140.112,4.0,,,,1740,0.044444444444444446
1741,8.0,29.0,40.745,140.103,4.0,,,,1740,0.044444444444444446
1741,8.0,29.0,40.75,140.093,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,40.768,140.05,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,40.67,139.947,3.0,,,,1740,0.03333333333333333
1741,8.0,29.0,40.63,139.887,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,38.32,138.53,5.0,,,,1740,0.05555555555555555
1741,8.0,29.0,38.07,138.45,8.0,,,,1740,0.08888888888888889
1741,8.0,29.0,38.07,138.6,2.0,,,,1740,0.022222222222222223
1741,8.0,29.0,38.02,138.23,4.0,,,,1740,0.044444444444444446
1741,8.0,29.0,37.33,136.75,4.0,,,,1740,0.044444444444444446
